维度名称,维度位置,作文文件名,篇名代码,作文分数,维度得分,作文片段
词汇丰富度与词汇扩展,低端,Y2_80_09,Y2,80,-1.263454210161625,上了小学，和老师、朋友等接触的时间就会增加，他们受到的影响也很大，但这影响还是不能胜于父母给孩子的影响。
词汇丰富度与词汇扩展,高端,J1_80_43,J1,80,1.3147085315191884,外公是一名裁缝，他每天不分昼夜地裁剪布料，缝制衣服，目的就是赚取更多的金钱，养活妻儿，供书教子，让儿女们将来生活得更好。
基础词汇与叙事推进,低端,J1_65_21,J1,65,-1.2643824759070998,池田先生认为只有青年的精力、智慧和勇气才能担当起这项责任重大与意义深远的工作——世界和平的实现。
基础词汇与叙事推进,高端,J1_80_23,J1,80,1.3458569428162774,从小到大最疼我的人就是我母亲。她在外边没有什么工作，所以一直自己照看孩子。对我影响最大的人就是她。我母亲是个贤妻良母。我还记得，我小时候从学校回来又饿又累时，一定有很好吃的东西等着我。我们家的衣服，我们的房间都是由母亲自己洗，自己打扫，她弄得很干干净净。我小时
人称指涉与信息密度,低端,Y1_80_21,Y1,80,-1.3054258637549798,吸烟的人说吸烟的时候可以消除所有的忧愁。吸烟对吸烟者来说是一种爱好，每个人都有享受自己爱好的权利。某一个人吸不吸烟是他的自由，应该由他来决定。可是在公共场所可不可以吸烟，应该由公众来决定。因为公共场所是归公众的。科学家们说吸烟对吸烟者的健康有30％的损害，然而
人称指涉与信息密度,高端,J2_65_03,J2,65,1.3504124259375112,我的朋友她成熟了很多，应该是从要保护孩子的责任感来的吧，不像我只管自己就好，自由自在，她有对孩子的责任感。
句法延展与分句复杂度,低端,Y1_65_01,Y1,65,-1.1991442513062995,这些不但对身体不好而且会产生危险，比如说一个人睡得不好，然后开车上班，可能开车时无法专心开车，这会引起交通事故。
句法延展与分句复杂度,高端,J2_65_16,J2,65,1.3671390330158035,我想，从北京坐国际列车一直到莫斯科，可能要一个星期左右吧，然后从莫斯科往西走到伦郭，再往西走到爱尔兰，爱尔兰再往西到西端的海滨，我觉得很好。
动作过程与动词链,低端,J2_90_11,J2,90,-1.2027625111148188,于是，她靠着顽强的毅力，自学完高中阶段段的教材，并以优异的成绩通过了国家成人自考的高中考试，获得了具有国家认可的高中毕业文凭。
动作过程与动词链,高端,Y2_80_13,Y2,80,1.3025020280220074,如果说父母只是吃饭时才能和孩子说话，我认为那还是会影响到孩子的成长过程，因为吃饭时大家都格外放松，谈这个又谈那个，这样父母的兴趣爱好就很容易传给孩子，他们的思想观念孩子也容易听得进去。
